ID,Target
20150901_-55.5_-68.5,0
20150901_-55.5_-67.5,0
20150901_-54.5_-71.5,0
20150901_-54.5_-70.5,0
20150901_-54.5_-69.5,0
20150901_-54.5_-68.5,0
20150901_-54.5_-67.5,0
20150901_-54.5_-66.5,0
20150901_-53.5_-73.5,0
20150901_-53.5_-72.5,0
20150901_-53.5_-71.5,0
20150901_-53.5_-70.5,0
20150901_-53.5_-69.5,0
20150901_-53.5_-68.5,0
20150901_-52.5_-74.5,0
20150901_-52.5_-73.5,0
20150901_-52.5_-72.5,0
20150901_-52.5_-71.5,0
20150901_-52.5_-70.5,0
20150901_-52.5_-69.5,0
20150901_-52.5_-68.5,0
20150901_-51.5_-74.5,0
20150901_-51.5_-73.5,0
20150901_-51.5_-72.5,0
20150901_-51.5_-71.5,0
20150901_-51.5_-70.5,0
20150901_-51.5_-69.5,0
20150901_-51.5_-60.5,0
20150901_-51.5_-59.5,0
20150901_-51.5_-58.5,0
20150901_-50.5_-74.5,0
20150901_-50.5_-73.5,0
20150901_-50.5_-72.5,0
20150901_-50.5_-71.5,0
20150901_-50.5_-70.5,0
20150901_-50.5_-69.5,0
20150901_-49.5_-75.5,0
20150901_-49.5_-74.5,0
20150901_-49.5_-73.5,0
20150901_-49.5_-72.5,0
20150901_-49.5_-71.5,0
20150901_-49.5_-70.5,0
20150901_-49.5_-69.5,0
20150901_-49.5_-68.5,0
20150901_-49.5_69.5,0
20150901_-48.5_-75.5,0
20150901_-48.5_-74.5,0
20150901_-48.5_-73.5,0
20150901_-48.5_-72.5,0
20150901_-48.5_-71.5,0
20150901_-48.5_-70.5,0
20150901_-48.5_-69.5,0
20150901_-48.5_-68.5,0
20150901_-48.5_-67.5,0
20150901_-47.5_-73.5,0
20150901_-47.5_-72.5,0
20150901_-47.5_-71.5,0
20150901_-47.5_-70.5,0
20150901_-47.5_-69.5,0
20150901_-47.5_-68.5,0
20150901_-47.5_-67.5,0
20150901_-47.5_-66.5,0
20150901_-46.5_-74.5,0
20150901_-46.5_-73.5,0
20150901_-46.5_-72.5,0
20150901_-46.5_-71.5,0
20150901_-46.5_-70.5,0
20150901_-46.5_-69.5,0
20150901_-46.5_-68.5,0
20150901_-46.5_-67.5,0
20150901_-46.5_168.5,0
20150901_-46.5_169.5,0
20150901_-45.5_-74.5,0
20150901_-45.5_-73.5,0
20150901_-45.5_-72.5,0
20150901_-45.5_-71.5,0
20150901_-45.5_-70.5,0
20150901_-45.5_-69.5,0
20150901_-45.5_-68.5,0
20150901_-45.5_-67.5,0
20150901_-45.5_167.5,0
20150901_-45.5_168.5,0
20150901_-45.5_169.5,0
20150901_-45.5_170.5,0
20150901_-44.5_-74.5,0
20150901_-44.5_-73.5,0
20150901_-44.5_-72.5,0
20150901_-44.5_-71.5,0
20150901_-44.5_-70.5,0
20150901_-44.5_-69.5,0
20150901_-44.5_-68.5,0
20150901_-44.5_-67.5,0
20150901_-44.5_-66.5,0
20150901_-44.5_-65.5,0
20150901_-44.5_168.5,0
20150901_-44.5_169.5,0
20150901_-44.5_170.5,0
20150901_-43.5_-73.5,0
20150901_-43.5_-72.5,0
20150901_-43.5_-71.5,0
20150901_-43.5_-70.5,0
20150901_-43.5_-69.5,0
20150901_-43.5_-68.5,0
20150901_-43.5_-67.5,0
20150901_-43.5_-66.5,0
20150901_-43.5_-65.5,0
20150901_-43.5_146.5,0
20150901_-43.5_170.5,0
20150901_-43.5_171.5,0
20150901_-43.5_172.5,0
20150901_-42.5_-73.5,0
20150901_-42.5_-72.5,0
20150901_-42.5_-71.5,0
20150901_-42.5_-70.5,0
20150901_-42.5_-69.5,0
20150901_-42.5_-68.5,0
20150901_-42.5_-67.5,0
20150901_-42.5_-66.5,0
20150901_-42.5_-65.5,0
20150901_-42.5_-64.5,0
20150901_-42.5_145.5,0
20150901_-42.5_146.5,0
20150901_-42.5_147.5,0
20150901_-42.5_171.5,0
20150901_-42.5_172.5,0
20150901_-42.5_173.5,0
20150901_-41.5_-73.5,0
20150901_-41.5_-72.5,0
20150901_-41.5_-71.5,0
20150901_-41.5_-70.5,0
20150901_-41.5_-69.5,0
20150901_-41.5_-68.5,0
20150901_-41.5_-67.5,0
